drg_definition,year,ttl_discharges,yoy_discharges,medicare_payment_ratio,medicare_segment,avg_hospital_charged,yoy_hos_charged,avg_patient_paid,yoy_patient_paid,avg_medicare_covered,yoy_medicare_covered
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,2012,68813,3.35,0.89,High Medicare Dependency,29912.65,1.52,8169.55,-0.66,7255.75,-1.17
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,2013,68757,-0.08,0.85,High Medicare Dependency,30957.07,3.49,8176.91,0.09,6958.25,-4.1
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,2014,70107,1.96,0.85,High Medicare Dependency,31308.43,1.13,8107.15,-0.85,6880.51,-1.12
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,2015,75627,7.87,0.84,High Medicare Dependency,31856.22,1.75,7994.72,-1.39,6737.87,-2.07
885 - PSYCHOSES,2011,89733,,0.87,High Medicare Dependency,18761.06,,7180.22,,6236.15,
885 - PSYCHOSES,2012,93466,4.16,0.87,High Medicare Dependency,19514.56,4.02,7307.08,1.77,6330.85,1.52
885 - PSYCHOSES,2013,89707,-4.02,0.83,High Medicare Dependency,20481.8,4.96,7689.59,5.23,6372.01,0.65
885 - PSYCHOSES,2014,87942,-1.97,0.84,High Medicare Dependency,21409.46,4.53,8586.75,11.67,7183.49,12.74
885 - PSYCHOSES,2015,81094,-7.79,0.83,High Medicare Dependency,23015.73,7.5,8699.46,1.31,7242.13,0.82
092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,2014,12322,,0.79,Moderate Medicare Dependency,29515.76,,7277.23,,5779.8,
092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,2015,12631,2.51,0.79,Moderate Medicare Dependency,30875.15,4.61,7212.09,-0.9,5713.56,-1.15
"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",2011,21820,,0.9,High Medicare Dependency,61115.13,,15560.64,,13949.87,
"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",2012,22605,3.6,0.91,High Medicare Dependency,65417.43,7.04,16228.45,4.29,14711.67,5.46
"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",2013,23002,1.76,0.85,High Medicare Dependency,68221.26,4.29,16731.59,3.1,14279.53,-2.94
"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",2014,24034,4.49,0.85,High Medicare Dependency,73196.22,7.29,17166.39,2.6,14519.19,1.68
"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",2015,25644,6.7,0.85,High Medicare Dependency,77033.35,5.24,17190.1,0.14,14537.76,0.13
355 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,2014,2113,,0.75,Moderate Medicare Dependency,39246.67,,9963.68,,7479.36,
355 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,2015,1561,-26.12,0.76,Moderate Medicare Dependency,41194.06,4.96,10320.19,3.58,7819.34,4.55
115 - EXTRAOCULAR PROCEDURES EXCEPT ORBIT,2014,105,,0.74,Moderate Medicare Dependency,45477.3,,12803.01,,9487.99,
115 - EXTRAOCULAR PROCEDURES EXCEPT ORBIT,2015,57,-45.71,0.75,Moderate Medicare Dependency,44775.33,-1.54,12792.33,-0.08,9640.79,1.61
007 - LUNG TRANSPLANT,2014,328,,0.73,Moderate Medicare Dependency,486633.16,,103157.62,,75252.52,
007 - LUNG TRANSPLANT,2015,398,21.34,0.76,Moderate Medicare Dependency,541050.62,11.18,107016.55,3.74,81537.74,8.35
188 - PLEURAL EFFUSION W/O CC/MCC,2015,12,,0.93,High Medicare Dependency,14858.0,,4300.0,,3979.0,
222 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,2014,86,,0.87,High Medicare Dependency,265800.0,,73466.58,,63837.76,
222 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,2015,75,-12.79,0.88,High Medicare Dependency,365694.12,37.58,84261.08,14.69,74189.35,16.22
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,2011,32647,,0.85,High Medicare Dependency,55978.31,,12524.49,,10663.89,
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,2012,25711,-21.25,0.86,High Medicare Dependency,59120.0,5.61,12809.19,2.27,10961.43,2.79
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,2014,12643,-50.83,0.8,Moderate Medicare Dependency,67781.36,14.65,13544.38,5.74,10901.61,-0.55
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,2015,9173,-27.45,0.84,High Medicare Dependency,71809.33,5.94,13202.33,-2.53,11040.33,1.27
253 - OTHER VASCULAR PROCEDURES W CC,2011,36434,,0.91,High Medicare Dependency,68656.56,,17657.08,,16068.29,
253 - OTHER VASCULAR PROCEDURES W CC,2012,35328,-3.04,0.9,High Medicare Dependency,73716.57,7.37,18403.91,4.23,16655.06,3.65
253 - OTHER VASCULAR PROCEDURES W CC,2013,33193,-6.04,0.88,High Medicare Dependency,78251.88,6.15,19025.53,3.38,16776.42,0.73
253 - OTHER VASCULAR PROCEDURES W CC,2014,32741,-1.36,0.88,High Medicare Dependency,81253.52,3.84,19028.6,0.02,16695.9,-0.48
253 - OTHER VASCULAR PROCEDURES W CC,2015,31073,-5.09,0.88,High Medicare Dependency,84876.56,4.46,19160.28,0.69,16807.16,0.67
545 - CONNECTIVE TISSUE DISORDERS W MCC,2014,667,,0.82,High Medicare Dependency,85575.21,,28803.56,,23593.53,
545 - CONNECTIVE TISSUE DISORDERS W MCC,2015,645,-3.3,0.83,High Medicare Dependency,83758.03,-2.12,27075.4,-6.0,22337.7,-5.32
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,2011,112430,,0.87,High Medicare Dependency,28323.1,,7968.85,,6896.6,
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,2012,119380,6.18,0.86,High Medicare Dependency,29225.01,3.18,7996.72,0.35,6872.98,-0.34
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,2013,124603,4.38,0.82,High Medicare Dependency,30246.0,3.49,7998.16,0.02,6564.7,-4.49
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,2014,134816,8.2,0.81,High Medicare Dependency,31068.43,2.72,8205.4,2.59,6642.89,1.19
887 - OTHER MENTAL DISORDER DIAGNOSES,2014,14,,0.66,Moderate Medicare Dependency,78735.0,,8000.0,,5291.0,
887 - OTHER MENTAL DISORDER DIAGNOSES,2015,15,7.14,0.86,High Medicare Dependency,76518.0,-2.82,6117.0,-23.54,5240.0,-0.96
194 - SIMPLE PNEUMONIA & PLEURISY W CC,2011,198390,,0.84,High Medicare Dependency,25348.91,,6964.18,,5872.25,
194 - SIMPLE PNEUMONIA & PLEURISY W CC,2012,180262,-9.14,0.84,High Medicare Dependency,26170.85,3.24,6960.67,-0.05,5863.03,-0.16
194 - SIMPLE PNEUMONIA & PLEURISY W CC,2013,181006,0.41,0.81,High Medicare Dependency,26992.28,3.14,7093.09,1.9,5728.34,-2.3
194 - SIMPLE PNEUMONIA & PLEURISY W CC,2014,148808,-17.79,0.81,High Medicare Dependency,28175.83,4.38,7239.97,2.07,5863.56,2.36
194 - SIMPLE PNEUMONIA & PLEURISY W CC,2015,148886,0.05,0.8,Moderate Medicare Dependency,28421.96,0.87,7123.8,-1.6,5725.18,-2.36
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,2011,102484,,0.83,High Medicare Dependency,21461.87,,5849.75,,4860.59,
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,2012,103312,0.81,0.82,High Medicare Dependency,22211.04,3.49,5775.23,-1.27,4751.32,-2.25
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,2013,100114,-3.1,0.78,Moderate Medicare Dependency,23218.66,4.54,5843.36,1.18,4586.62,-3.47
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,2014,90055,-10.05,0.79,Moderate Medicare Dependency,24181.82,4.15,6126.08,4.84,4834.7,5.41
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,2015,91226,1.3,0.78,Moderate Medicare Dependency,24854.34,2.78,6045.93,-1.31,4713.24,-2.51
596 - MAJOR SKIN DISORDERS W/O MCC,2014,422,,0.78,Moderate Medicare Dependency,35399.42,,9769.64,,7585.8,
596 - MAJOR SKIN DISORDERS W/O MCC,2015,326,-22.75,0.73,Moderate Medicare Dependency,32693.79,-7.64,10336.16,5.8,7523.28,-0.82
620 - O.R. PROCEDURES FOR OBESITY W CC,2014,1850,,0.82,High Medicare Dependency,57081.85,,14715.22,,12104.49,
620 - O.R. PROCEDURES FOR OBESITY W CC,2015,1753,-5.24,0.8,Moderate Medicare Dependency,59414.1,4.09,14629.4,-0.58,11720.35,-3.17
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,2014,84,,0.83,High Medicare Dependency,25831.55,,6949.68,,5783.08,
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,2015,197,134.52,0.8,Moderate Medicare Dependency,31493.99,21.92,6944.4,-0.08,5576.36,-3.57
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,2014,304,,0.71,Moderate Medicare Dependency,35001.49,,10103.33,,7156.89,
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,2015,249,-18.09,0.71,Moderate Medicare Dependency,41814.08,19.46,10790.56,6.8,7693.83,7.5
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,2011,106414,,0.85,High Medicare Dependency,30776.07,,8052.35,,6864.22,
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,2012,103849,-2.41,0.85,High Medicare Dependency,32125.28,4.38,8093.77,0.51,6845.04,-0.28
292 - HEART FAILURE & SHOCK W CC,2011,222038,,0.88,High Medicare Dependency,25113.92,,7098.43,,6250.98,
292 - HEART FAILURE & SHOCK W CC,2012,204069,-8.09,0.88,High Medicare Dependency,26160.61,4.17,7180.48,1.16,6294.84,0.7
292 - HEART FAILURE & SHOCK W CC,2013,196318,-3.8,0.83,High Medicare Dependency,26910.71,2.87,7187.35,0.1,5987.65,-4.88
292 - HEART FAILURE & SHOCK W CC,2014,192918,-1.73,0.83,High Medicare Dependency,27644.62,2.73,7501.14,4.37,6261.16,4.57
292 - HEART FAILURE & SHOCK W CC,2015,192975,0.03,0.83,High Medicare Dependency,28354.3,2.57,7408.48,-1.24,6138.27,-1.96
516 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,2014,3732,,0.86,High Medicare Dependency,61156.05,,14418.55,,12456.74,
516 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,2015,4140,10.93,0.87,High Medicare Dependency,62958.33,2.95,14790.64,2.58,12883.49,3.43
958 - OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W CC,2014,148,,0.76,Moderate Medicare Dependency,131284.33,,41238.4,,31163.17,
958 - OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W CC,2015,178,20.27,0.79,Moderate Medicare Dependency,124034.55,-5.52,35624.18,-13.61,28247.86,-9.35
094 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,2014,11,,0.98,High Medicare Dependency,99969.0,,31278.0,,30704.0,
139 - SALIVARY GLAND PROCEDURES,2014,24,,0.82,High Medicare Dependency,19909.46,,8427.88,,6945.58,
139 - SALIVARY GLAND PROCEDURES,2015,11,-54.17,0.81,High Medicare Dependency,12421.0,-37.61,7460.0,-11.48,6059.0,-12.76
183 - MAJOR CHEST TRAUMA W MCC,2014,308,,0.75,Moderate Medicare Dependency,51406.7,,14232.73,,10744.58,
183 - MAJOR CHEST TRAUMA W MCC,2015,609,97.73,0.77,Moderate Medicare Dependency,53073.17,3.24,14068.23,-1.16,10849.45,0.98
217 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,2014,3164,,0.9,High Medicare Dependency,181334.34,,49552.42,,44611.77,
217 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,2015,1694,-46.46,0.88,High Medicare Dependency,185924.65,2.53,50448.97,1.81,44594.52,-0.04
250 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,2014,5778,,0.88,High Medicare Dependency,113201.41,,25442.2,,22404.24,
250 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,2015,6776,17.27,0.87,High Medicare Dependency,126070.12,11.37,26442.72,3.93,22979.31,2.57
"465 - WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W/O CC/MCC",2014,172,,0.81,High Medicare Dependency,78026.16,,18831.16,,15327.69,
"465 - WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W/O CC/MCC",2015,168,-2.33,0.86,High Medicare Dependency,72202.83,-7.46,21459.79,13.96,18453.22,20.39
"623 - SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W CC",2014,113,,0.87,High Medicare Dependency,42161.88,,12772.95,,11146.4,
"623 - SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W CC",2015,133,17.7,0.88,High Medicare Dependency,66504.34,57.74,11958.68,-6.37,10528.79,-5.54
674 - OTHER KIDNEY & URINARY TRACT PROCEDURES W CC,2014,1397,,0.85,High Medicare Dependency,68369.51,,18063.76,,15356.86,
674 - OTHER KIDNEY & URINARY TRACT PROCEDURES W CC,2015,1413,1.15,0.84,High Medicare Dependency,73767.96,7.9,18258.2,1.08,15307.34,-0.32
"744 - D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W CC/MCC",2014,26,,0.93,High Medicare Dependency,48821.54,,10991.62,,10250.62,
"744 - D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W CC/MCC",2015,35,34.62,0.85,High Medicare Dependency,67976.71,39.24,16267.97,48.0,13905.46,35.65
201 - PNEUMOTHORAX W/O CC/MCC,2014,25,,0.72,Moderate Medicare Dependency,15202.4,,9131.96,,6583.6,
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,2011,61060,,0.89,High Medicare Dependency,31974.7,,8750.67,,7765.29,
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,2012,62424,2.23,0.87,High Medicare Dependency,33181.75,3.78,8931.03,2.06,7808.69,0.56
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,2013,65669,5.2,0.85,High Medicare Dependency,34708.84,4.6,8999.65,0.77,7647.39,-2.07
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,2014,65003,-1.01,0.85,High Medicare Dependency,36198.12,4.29,9079.21,0.88,7702.72,0.72
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,2015,71019,9.25,0.84,High Medicare Dependency,37167.9,2.68,9009.58,-0.77,7588.9,-1.48
312 - SYNCOPE & COLLAPSE,2011,141918,,0.8,Moderate Medicare Dependency,20541.31,,5156.21,,4122.78,
312 - SYNCOPE & COLLAPSE,2012,118431,-16.55,0.79,Moderate Medicare Dependency,21904.82,6.64,5301.86,2.82,4187.24,1.56
312 - SYNCOPE & COLLAPSE,2013,98485,-16.84,0.77,Moderate Medicare Dependency,23605.0,7.76,5509.46,3.92,4219.9,0.78
312 - SYNCOPE & COLLAPSE,2014,84213,-14.49,0.78,Moderate Medicare Dependency,25637.63,8.61,5970.36,8.37,4677.85,10.85
312 - SYNCOPE & COLLAPSE,2015,77846,-7.56,0.78,Moderate Medicare Dependency,27062.43,5.56,6022.41,0.87,4702.38,0.52
638 - DIABETES W CC,2011,48025,,0.84,High Medicare Dependency,21892.23,,6069.99,,5069.64,
638 - DIABETES W CC,2012,45788,-4.66,0.83,High Medicare Dependency,22930.05,4.74,6052.24,-0.29,5045.69,-0.47
638 - DIABETES W CC,2013,44849,-2.05,0.79,Moderate Medicare Dependency,23903.49,4.25,6217.39,2.73,4891.48,-3.06
638 - DIABETES W CC,2014,41679,-7.07,0.8,Moderate Medicare Dependency,25529.37,6.8,6792.09,9.24,5438.14,11.18
638 - DIABETES W CC,2015,42254,1.38,0.79,Moderate Medicare Dependency,26028.21,1.95,6655.66,-2.01,5277.03,-2.96
738 - UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W/O CC/MCC,2014,12,,0.72,Moderate Medicare Dependency,27873.0,,11007.0,,7966.0,
041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,2014,1173,,0.81,High Medicare Dependency,69860.06,,18983.28,,15437.1,
041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,2015,1798,53.28,0.82,High Medicare Dependency,69135.51,-1.04,17397.98,-8.35,14324.94,-7.2
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,2011,62093,,0.91,High Medicare Dependency,50511.48,,13773.07,,12554.68,
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,2012,63439,2.17,0.91,High Medicare Dependency,51057.86,1.08,13750.63,-0.16,12544.42,-0.08
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,2013,66379,4.63,0.87,High Medicare Dependency,53138.55,4.08,14021.97,1.97,12182.17,-2.89
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,2014,68825,3.68,0.86,High Medicare Dependency,54979.7,3.46,13534.86,-3.47,11624.68,-4.58
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,2015,72376,5.16,0.86,High Medicare Dependency,57952.82,5.41,13444.02,-0.67,11524.64,-0.86
069 - TRANSIENT ISCHEMIA,2011,79590,,0.78,Moderate Medicare Dependency,21830.06,,5074.53,,3962.34,
069 - TRANSIENT ISCHEMIA,2012,75570,-5.05,0.78,Moderate Medicare Dependency,22787.89,4.39,5144.31,1.38,3988.02,0.65
069 - TRANSIENT ISCHEMIA,2013,68011,-10.0,0.75,Moderate Medicare Dependency,24245.67,6.4,5337.23,3.75,4003.75,0.39
069 - TRANSIENT ISCHEMIA,2014,56614,-16.76,0.75,Moderate Medicare Dependency,26459.95,9.13,5499.06,3.03,4136.42,3.31
069 - TRANSIENT ISCHEMIA,2015,50038,-11.62,0.75,Moderate Medicare Dependency,28131.93,6.32,5436.98,-1.13,4063.04,-1.77
535 - FRACTURES OF HIP & PELVIS W MCC,2014,892,,0.85,High Medicare Dependency,35397.32,,10102.21,,8567.18,
535 - FRACTURES OF HIP & PELVIS W MCC,2015,974,9.19,0.84,High Medicare Dependency,35029.29,-1.04,9786.91,-3.12,8254.91,-3.64
"740 - UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W CC",2014,921,,0.82,High Medicare Dependency,62098.41,,14145.31,,11645.12,
"740 - UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W CC",2015,831,-9.77,0.81,High Medicare Dependency,62546.42,0.72,14285.15,0.99,11517.5,-1.1
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,2014,214,,0.74,Moderate Medicare Dependency,43679.68,,15077.9,,11110.72,
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,2015,279,30.37,0.83,High Medicare Dependency,46756.7,7.04,14001.85,-7.14,11632.44,4.7
333 - RECTAL RESECTION W CC,2014,644,,0.84,High Medicare Dependency,67462.74,,18382.31,,15384.67,
333 - RECTAL RESECTION W CC,2015,586,-9.01,0.84,High Medicare Dependency,73990.39,9.68,18655.9,1.49,15715.26,2.15
356 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,2014,1688,,0.86,High Medicare Dependency,118921.85,,32504.87,,28104.01,
356 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,2015,1486,-11.97,0.85,High Medicare Dependency,131564.98,10.63,34533.85,6.24,29316.43,4.31
"626 - THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W CC",2014,143,,0.8,Moderate Medicare Dependency,44160.27,,11600.22,,9271.15,
"626 - THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W CC",2015,133,-6.99,0.82,High Medicare Dependency,76631.54,73.53,13341.42,15.01,10920.15,17.79
664 - MINOR BLADDER PROCEDURES W/O CC/MCC,2014,18,,0.89,High Medicare Dependency,42595.0,,13666.0,,12216.0,
880 - ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,2014,1325,,0.77,Moderate Medicare Dependency,22448.56,,6145.95,,4718.25,
880 - ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,2015,1232,-7.02,0.76,Moderate Medicare Dependency,24502.31,9.15,6376.85,3.76,4835.12,2.48
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,2011,29225,,0.79,Moderate Medicare Dependency,17280.81,,4577.63,,3617.66,
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,2012,26726,-8.55,0.79,Moderate Medicare Dependency,18552.36,7.36,4650.4,1.59,3689.78,1.99
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,2013,23672,-11.43,0.75,Moderate Medicare Dependency,19699.2,6.18,4862.85,4.57,3633.47,-1.53
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,2014,17846,-24.61,0.78,Moderate Medicare Dependency,21655.44,9.93,5646.43,16.11,4386.13,20.71
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,2015,15524,-13.01,0.77,Moderate Medicare Dependency,22997.27,6.2,5583.02,-1.12,4273.1,-2.58
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,2014,54,,0.6,Moderate Medicare Dependency,295373.89,,67402.78,,40508.67,
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,2015,112,107.41,0.57,Moderate Medicare Dependency,369886.22,25.23,73857.4,9.58,42185.24,4.14
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,2011,29646,,0.92,High Medicare Dependency,67968.69,,18181.94,,16758.5,
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,2012,26554,-10.43,0.92,High Medicare Dependency,70477.74,3.69,18445.46,1.45,16976.22,1.3
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,2013,24023,-9.53,0.9,High Medicare Dependency,74341.75,5.48,18794.9,1.89,16931.16,-0.27
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,2014,22479,-6.43,0.9,High Medicare Dependency,76981.94,3.55,18674.21,-0.64,16761.76,-1.0
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,2015,20841,-7.29,0.9,High Medicare Dependency,79088.06,2.74,18662.92,-0.06,16784.63,0.14
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",2011,115920,,0.82,High Medicare Dependency,34000.49,,7720.62,,6304.7,
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",2012,106673,-7.98,0.81,High Medicare Dependency,36269.38,6.67,7769.24,0.63,6291.58,-0.21
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",2013,90241,-15.4,0.77,Moderate Medicare Dependency,39124.33,7.87,7994.19,2.9,6183.68,-1.71
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",2014,81314,-9.89,0.78,Moderate Medicare Dependency,41830.76,6.92,8431.63,5.47,6608.36,6.87
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",2015,76539,-5.87,0.78,Moderate Medicare Dependency,44012.76,5.22,8644.01,2.52,6747.74,2.11
"513 - HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC",2014,15,,0.75,Moderate Medicare Dependency,62345.0,,10009.0,,7545.0,
"513 - HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC",2015,11,-26.67,0.86,High Medicare Dependency,59197.0,-5.05,9689.0,-3.2,8312.0,10.17
"630 - OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W/O CC/MCC",2014,14,,0.83,High Medicare Dependency,33706.0,,8287.0,,6919.0,
927 - EXTENSIVE BURNS OR FULL THICKNESS BURNS W MV >96 HRS W SKIN GRAFT,2015,14,,0.99,High Medicare Dependency,561501.0,,96924.0,,95783.0,
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,2014,243,,0.85,High Medicare Dependency,22139.65,,7074.41,,5986.93,
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,2015,156,-35.8,0.73,Moderate Medicare Dependency,27243.24,23.05,7832.87,10.72,5714.59,-4.55
198 - INTERSTITIAL LUNG DISEASE W/O CC/MCC,2014,12,,0.64,Moderate Medicare Dependency,36693.0,,10910.0,,7025.0,
198 - INTERSTITIAL LUNG DISEASE W/O CC/MCC,2015,24,100.0,0.9,High Medicare Dependency,23064.92,-37.14,10259.88,-5.96,9278.88,32.08
"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",2011,63934,,0.92,High Medicare Dependency,46373.32,,12661.1,,11639.4,
"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",2012,61558,-3.72,0.92,High Medicare Dependency,47556.58,2.55,12476.49,-1.46,11418.26,-1.9
"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",2013,63447,3.07,0.89,High Medicare Dependency,49408.59,3.89,12837.01,2.89,11367.75,-0.44
"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",2014,60156,-5.19,0.88,High Medicare Dependency,50954.38,3.13,12534.68,-2.36,11015.29,-3.1
"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",2015,63381,5.36,0.87,High Medicare Dependency,52606.17,3.24,12364.56,-1.36,10805.35,-1.91
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",2014,4859,,0.79,Moderate Medicare Dependency,48381.55,,12592.89,,9932.6,
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",2015,4791,-1.4,0.77,Moderate Medicare Dependency,52159.5,7.81,12576.18,-0.13,9630.88,-3.04
346 - MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,2014,141,,0.7,Moderate Medicare Dependency,30662.64,,10383.16,,7224.15,
346 - MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,2015,146,3.55,0.74,Moderate Medicare Dependency,32014.19,4.41,10460.3,0.74,7783.4,7.74
387 - INFLAMMATORY BOWEL DISEASE W/O CC/MCC,2014,152,,0.73,Moderate Medicare Dependency,25157.45,,6822.3,,5003.88,
387 - INFLAMMATORY BOWEL DISEASE W/O CC/MCC,2015,141,-7.24,0.68,Moderate Medicare Dependency,26553.31,5.55,6637.4,-2.71,4519.21,-9.69
"604 - TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W MCC",2014,74,,0.88,High Medicare Dependency,61366.27,,14399.34,,12701.72,
"604 - TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W MCC",2015,82,10.81,0.86,High Medicare Dependency,57014.72,-7.09,10426.05,-27.59,8962.38,-29.44
